family,variant,target,collector,rows,shape,scenario,fastest_ns,slowest_ns,median_ns,mean_ns
bool,regressed,avx2,plain,16384,ConstantLhs,PartialAccepted,104100.0,115200.0,104600.0,105800.0
bool,regressed,avx2,plain,16384,ConstantRhs,AllValid,97660.0,108400.0,97980.0,99090.0
bool,regressed,avx2,plain,16384,ConstantRhs,NullOnlyFailure,353900.0,994300.0,360000.0,361100.0
bool,regressed,avx2,plain,16384,ConstantRhs,ObservableFailure,154000.0,177200.0,155100.0,156700.0
bool,regressed,avx2,plain,16384,ConstantRhs,PartialAccepted,104000.0,116700.0,104500.0,105600.0
bool,regressed,avx512,multiversioned,16384,Columns,AllValid,374500.0,425400.0,397500.0,397400.0
bool,regressed,avx512,multiversioned,16384,Columns,NullOnlyFailure,622700.0,747400.0,644200.0,644200.0
bool,regressed,avx512,multiversioned,16384,Columns,ObservableFailure,435700.0,508600.0,454700.0,454900.0
bool,regressed,avx512,multiversioned,16384,Columns,PartialAccepted,379100.0,606300.0,401400.0,401500.0
bool,regressed,avx512,multiversioned,16384,ConstantLhs,AllValid,368000.0,459600.0,395700.0,395600.0
bool,regressed,avx512,multiversioned,16384,ConstantLhs,NullOnlyFailure,645200.0,700600.0,671500.0,671300.0
bool,regressed,avx512,multiversioned,16384,ConstantLhs,ObservableFailure,428700.0,513400.0,453800.0,453900.0
bool,regressed,avx512,multiversioned,16384,ConstantLhs,PartialAccepted,382600.0,423600.0,402400.0,402600.0
bool,regressed,avx512,multiversioned,16384,ConstantRhs,AllValid,384500.0,445500.0,403500.0,403600.0
bool,regressed,avx512,multiversioned,16384,ConstantRhs,NullOnlyFailure,650100.0,854500.0,667900.0,668100.0
bool,regressed,avx512,multiversioned,16384,ConstantRhs,ObservableFailure,443400.0,724200.0,462500.0,462700.0
bool,regressed,avx512,multiversioned,16384,ConstantRhs,PartialAccepted,389800.0,460700.0,412200.0,412200.0
bool,regressed,avx512,plain,16384,Columns,AllValid,37710.0,49650.0,37990.0,38730.0
bool,regressed,avx512,plain,16384,Columns,NullOnlyFailure,279500.0,378200.0,285600.0,286400.0
bool,regressed,avx512,plain,16384,Columns,ObservableFailure,93980.0,189000.0,94940.0,96640.0
bool,regressed,avx512,plain,16384,Columns,PartialAccepted,44320.0,75700.0,45210.0,45730.0
bool,regressed,avx512,plain,16384,ConstantLhs,AllValid,32360.0,53270.0,32590.000000000004,33180.0
bool,regressed,avx512,plain,16384,ConstantLhs,NullOnlyFailure,304200.0,429400.0,311300.0,311700.0
bool,regressed,avx512,plain,16384,ConstantLhs,ObservableFailure,88650.0,148600.0,89590.0,90990.0
bool,regressed,avx512,plain,16384,ConstantLhs,PartialAccepted,38790.0,64140.0,39250.0,40020.0
bool,regressed,avx512,plain,16384,ConstantRhs,AllValid,32119.999999999996,130400.0,32340.000000000004,33060.0
bool,regressed,avx512,plain,16384,ConstantRhs,NullOnlyFailure,289800.0,352100.0,297800.0,298300.0
