label,case,rows,samples,median_ns,p25_ns,p75_ns
selected-experiment,selected_valid_c2_multi,1024,36,1425.649,1418.833,1431.101
selected-experiment,selected_valid_c2_multi,16384,36,14328.940,13943.888,16049.156
selected-experiment,selected_valid_c2_plain,0,36,630.803,629.125,633.558
selected-experiment,selected_valid_c2_plain,1,36,164.385,163.508,164.984
selected-experiment,selected_valid_c2_plain,64,36,661.707,660.823,663.920
selected-experiment,selected_valid_c2_plain,1024,36,1423.249,1421.274,1427.409
selected-experiment,selected_valid_c2_plain,16384,36,13907.142,13888.387,13958.537
cosine-before,cosine_w256_c0,1024,36,233424.469,232065.094,236316.406
cosine-before,cosine_w256_c1,1024,36,237934.906,236738.921,240264.328
cosine-before,cosine_w256_c2,1024,36,240998.719,238426.421,242707.031
cosine-before,cosine_w2_c0,1024,36,2678.243,2670.633,2689.392
cosine-before,cosine_w2_c1,1024,36,3368.001,3353.343,3409.465
cosine-before,cosine_w2_c2,1024,36,3091.655,3083.893,3118.032
cosine-before,cosine_w32_c0,1024,36,15336.426,15189.494,15537.230
cosine-before,cosine_w32_c1,1024,36,16338.868,16224.289,16414.060
cosine-before,cosine_w32_c2,1024,36,16184.895,16045.125,16329.832
cosine-experiment,cosine_w256_c0,1024,36,233533.844,232453.094,237324.875
cosine-experiment,cosine_w256_c1,1024,36,162333.344,161155.594,164354.812
cosine-experiment,cosine_w256_c2,1024,36,164147.125,162695.282,166005.234
cosine-experiment,cosine_w2_c0,1024,36,2968.974,2936.655,5667.521
cosine-experiment,cosine_w2_c1,1024,36,2857.808,2835.286,3594.483
cosine-experiment,cosine_w2_c2,1024,36,3104.167,3081.889,3146.983
cosine-experiment,cosine_w32_c0,1024,36,15336.508,15263.836,15433.798
